"LANGUAGE","Русский"
"TFC_NAM","Transfer Controller"
"TFC_DESC","Включить контроль поставок товаров и сервисных служб."
"TFC_TAB_VEH","Транспорт"
"TFC_RES_PLD","Предпочитать ближайшие районы"
"TFC_RES_PLD_TIP","If this is selected, preference will be given to servicing locations within the same district and/or park area as this building"
"TFC_RES_ENA","Включить локальные ограничения"
"TFC_RES_ENA_TIP","If this is selected, service will be restricted to the districts and/or buildings listed below (and any permitted outside connections)."
"TFC_DIS_AVA","Доступные районы"
"TFC_DIS_SEL","Разрешённые районы"
"TFC_DIS_ADD","Добавить этот район в список разрешённых районов"
"TFC_DIS_SUB","Удалить этот район из списка разрешённых районов"
"TFC_BUI_SEL","Разрешённые здания"
"TFC_BUI_ADD","Используйте курсор чтобы выбрать здание и добавить его в список разрешённых зданий"
"TFC_BUI_SUB","Удалить это здание из списка разрешённых зданий"
"TFC_VEH_AVA","Доступный транспорт"
"TFC_VEH_SEL","Разрешённый транспорт"
"TFC_VEH_ADD","Добавить этот транспорт в список разрешённых"
"TFC_VEH_SUB","Удалить этот транспорт из списка разрешённых"
"TFC_VEH_ANY","Любой"
"TFC_GEN_BUY","Входящие товары"
"TFC_GEN_SEL","Исходящие товары"
"TFC_GEN_SER","Зона обслуживания"
"TFC_BLD_SDO","Всегда обслуживать тот же район"
"TFC_BLD_SDO_TIP","Enable to ensure that the building can always service the same district and/or area that it's in, even if the district or area later changes."
"TFC_BLD_IMP","Разрешить импорт"
"TFC_BLD_IMP_TIP","Permit this building to import from outside connections. This is not affected by district or building restrictions."
"TFC_BLD_EXP","Разрешить экспорт"
"TFC_BLD_EXP_TIP","Permit this building to export to outside connections. This is not affected by district or building restrictions."
"TFC_BLD_NOD","Нет районов"
"TFC_FIR_SER","Пожарная служба"
"TFC_DIS_TRU","Спасательный грузовик"
"TFC_DIS_HEL","Спасательный вертолет"
"TFC_POL_PMO","Заключённый в тюрьму"
"TFC_POL_PMI","Входящие заключенные"
"TFC_POL_PHO","Тюремный вертолет"
"TFC_POL_PHI","Тюремный транспорт"
"TFC_POL_PTO","Перевозка заключённых"
"TFC_MAI_IML","Сбор почты"
"TFC_MAI_OUN","Неотсортерованная исходящая почта"
"TFC_MAI_IST","Отсортированная входящая почта"
"TFC_MAI_IUN","Неотсортированная входящая почта"
"TFC_MAI_OST","Отсортированная исходящая почта"
"TFC_MAI_OGM","Исходящая почта"
"TFC_MAI_ICM","Входящая почта"
"TFC_GAR_ICO","Сбор мусора"
"TFC_GAR_ITF","Входящий мусор"
"TFC_GAR_OTF","Исходящий мусор"
"TFC_GAR_ORR","Восстановить ресурсы для продажи"
"TFC_FIS_MKO","Доставка рыбы"
"TFC_FIS_MKI","Входящая рыба"
"TFC_FIS_CFO","Исходящие товары"
"TFC_PWR_INC","Покупка топлива"
"TFC_OIL_INC","Поставка топлива"
"TFC_SHT_INC","Покупка товаров"
"TFC_WAR_RVU","Зарезервировать транспорт для уникальных фабрик"
"TFC_WAR_RVU_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service unique factories"
"TFC_WAR_RVO","Reserve vehicles for outside connections"
"TFC_WAR_RVO_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service outside connections (importing and exporting)"
"TFC_WAR_RVI","Зарезервировать транспорт для городской доставки"
"TFC_WAR_RVI_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service delivery within this city (and not be available for importing or exporting)"
"TFC_WAR_RVC","Зарезервированный транспорт"
"TFC_WAR_RVC_TIP","Задать количество зарезервированного транспорта"
