"LANGUAGE","Português Brasileiro"
"TFC_NAM","Controlador de Transferência"
"TFC_DESC","Permite o controle da transferência de bens e da cobertura do veículo de serviço."
"TFC_TAB_VEH","Veículos"
"TFC_RES_PLD","Prefira o distrito local"
"TFC_RES_PLD_TIP","Se isso for selecionado, será dada preferência a locais de manutenção dentro do mesmo distrito e/ou área de parque deste edifício"
"TFC_RES_ENA","Ativar restrições de local"
"TFC_RES_ENA_TIP","Se for selecionado, o serviço será restrito aos distritos e/ou edifícios listados abaixo (e quaisquer conexões externas permitidas)."
"TFC_DIS_AVA","Distritos disponíveis"
"TFC_DIS_SEL","Distritos permitidos"
"TFC_DIS_ADD","Adicionar este distrito à lista de distritos permitidos"
"TFC_DIS_SUB","Remover este distrito da lista de distritos permitidos"
"TFC_BUI_SEL","Prédios permitidos"
"TFC_BUI_ADD","Use o cursor para selecionar um edifício para adicionar à lista de edifícios permitidos"
"TFC_BUI_SUB","Remover este prédio da lista de prédios permitidos"
"TFC_VEH_AVA","Veículos disponíveis"
"TFC_VEH_SEL","Veículos permitidos"
"TFC_VEH_ADD","Adicione este veículo à lista de veículos permitidos"
"TFC_VEH_SUB","Remova este veículo da lista de veículos permitidos"
"TFC_VEH_ANY","Qualquer"
"TFC_GEN_BUY","Entrada de mercadorias"
"TFC_GEN_SEL","Saída de mercadorias"
"TFC_GEN_SER","Área de serviços"
"TFC_BLD_SDO","Sempre atender o mesmo distrito"
"TFC_BLD_SDO_TIP","Habilite para garantir que o edifício sempre possa atender a mesma região e/ou área em que se encontra, mesmo que a região ou área mudem posteriormente."
"TFC_BLD_IMP","Permitir a Importação"
"TFC_BLD_IMP_TIP","Permite que este edifício seja importado de conexões externas. Isso não é afetado por restrições de distrito ou construção."
"TFC_BLD_EXP","Permitir exportações"
"TFC_BLD_EXP_TIP","Permite que este edifício seja exportado para conexões externas. Isso não é afetado por restrições de distrito ou construção."
"TFC_BLD_NOD","Sem distrito local"
"TFC_FIR_SER","Bombeiros"
"TFC_DIS_TRU","Caminhões de resgate"
"TFC_DIS_HEL","Helicópteros de resgate"
"TFC_POL_PMO","Prisioneiros para a prisão"
"TFC_POL_PMI","Prisoneiros dentro"
"TFC_POL_PHO","Helicóptero prisional"
"TFC_POL_PHI","Transporte de prisioneiro"
"TFC_POL_PTO","Transferência de prisioneiro"
"TFC_MAI_IML","Coleta de correio"
"TFC_MAI_OUN","Saída de correio não ordenado"
"TFC_MAI_IST","Entrada de correspondência ordenada"
"TFC_MAI_IUN","Entrada de correio não ordenado"
"TFC_MAI_OST","Saída de correspondência ordenada"
"TFC_MAI_OGM","Correspondência expedida"
"TFC_MAI_ICM","Correspondência recebida"
"TFC_GAR_ICO","Coleta de lixo"
"TFC_GAR_ITF","Entrada de lixo"
"TFC_GAR_OTF","Saída de lixo"
"TFC_GAR_ORR","Recursos recuperados à venda"
"TFC_FIS_MKO","Entrega de peixe"
"TFC_FIS_MKI","Entrada de peixes"
"TFC_FIS_CFO","Saída de mercadorias"
"TFC_PWR_INC","Compra de combustível"
"TFC_OIL_INC","Fornecimento de óleo"
"TFC_SHT_INC","Comprando mercadorias"
"TFC_WAR_RVU","Reservar veículos para fábricas únicas"
"TFC_WAR_RVU_TIP","Selecionando isto reservará uma parte dos veículos de entrega deste edifício para apenas atender fábricas únicas"
"TFC_WAR_RVO","Reservar veículos para conexões externas"
"TFC_WAR_RVO_TIP","A seleção desta opção reservará uma parte dos veículos de entrega deste edifício para atender apenas conexões externas (importação e exportação)"
"TFC_WAR_RVI","Reservar veículos para entrega na cidade"
"TFC_WAR_RVI_TIP","A seleção desta opção reservará uma parte dos veículos de entrega deste edifício apenas para entrega de serviços dentro desta cidade (e não estará disponível para importação ou exportação)"
"TFC_WAR_RVC","Veículos reservados"
"TFC_WAR_RVC_TIP","Defina o número de veículos reservados"
"TFC_OPT_NEW","Use o novo algoritmo de correspondência baseado em distância"
"TFC_OPT_NEW_TIP","Se isso for selecionado, o mod usará um algoritmo personalizado para combinar melhor as transferências com base na distância mais próxima."
"TFC_OPT_DIS","Multiplicador de distância"
"TFC_OPT_DIS_TIP","Use isso para ajustar a agressividade do algoritmo de correspondência na tentativa de encontrar uma correspondência fisicamente próxima. 100% (padrão) é o mesmo que o jogo não modificado; valores mais baixos significam que o jogo gasta mais tempo e esforço tentando encontrar a partida com a menor distância, à custa de algum desempenho."
"TFC_OPT_WAR","Aumento de prioridade do armazém"
"TFC_OPT_WAR_TIP","Use isso para incentivar o algoritmo a dar maior prioridade às transferências de e para armazéns (sobre outras opções disponíveis para o mesmo tipo de carga). 0 (sem prioridade de armazém) é o padrão, para o mesmo comportamento do jogo não modificado; 4 dá uma prioridade muito alta para transferências de armazém."
"TFC_OPT_ORP","Aumento de prioridade de conexão ferroviária externa"
"TFC_OPT_ORP_TIP","Use isso para incentivar o algoritmo a dar maior prioridade às transferências de e para conexões ferroviárias externas (sobre outras opções disponíveis para o mesmo tipo de carga). 0 (sem prioridade) é o padrão, para o mesmo comportamento do jogo não modificado; 4 dá uma prioridade muito alta para transferências ferroviárias de conexão externa."
"TFC_OPT_OSP","Aumento de prioridade de conexão de remessa externa"
"TFC_OPT_OSP_TIP","Use isso para incentivar o algoritmo a dar prioridade mais alta às transferências de e para conexões de remessa externas (em relação a outras opções disponíveis para o mesmo tipo de carga). 0 (sem prioridade) é o padrão, para o mesmo comportamento do jogo não modificado; 4 dá uma prioridade muito alta para transferências de remessa de conexão externa."
"TFC_OPT_PAT","Bloquear ofertas com falhas recentes de localização de caminho"
"TFC_OPT_PAT_TIP","Impede que as ofertas sejam correspondidas se houver uma falha na localização do caminho do veículo entre os dois prédios nos últimos cinco minutos"
"TFC_OFF_TIT","Ofertas abertas"
